/docker-entrypoint.sh: /docker-entrypoint.d/ is not empty, will attempt to perform configuration
/docker-entrypoint.sh: Looking for shell scripts in /docker-entrypoint.d/
/docker-entrypoint.sh: Launching /docker-entrypoint.d/10-listen-on-ipv6-by-default.sh
10-listen-on-ipv6-by-default.sh: info: Getting the checksum of /etc/nginx/conf.d/default.conf
10-listen-on-ipv6-by-default.sh: info: Enabled listen on IPv6 in /etc/nginx/conf.d/default.conf
/docker-entrypoint.sh: Sourcing /docker-entrypoint.d/15-local-resolvers.envsh
/docker-entrypoint.sh: Launching /docker-entrypoint.d/20-envsubst-on-templates.sh
/docker-entrypoint.sh: Launching /docker-entrypoint.d/30-tune-worker-processes.sh
/docker-entrypoint.sh: Configuration complete; ready for start up
77.110.105.199 - - [14/May/2025:16:39:24 +0000] "GET / HTTP/1.1" 200 2287 "-" "python-requests/2.32.3"
77.110.105.199 - - [14/May/2025:16:39:24 +0000] "GET /api/users HTTP/1.1" 200 257 "-" "python-requests/2.32.3"
77.110.105.199 - - [14/May/2025:16:40:24 +0000] "GET / HTTP/1.1" 200 2287 "-" "python-requests/2.32.3"
77.110.105.199 - - [14/May/2025:16:40:24 +0000] "GET /api/users HTTP/1.1" 200 257 "-" "python-requests/2.32.3"
77.110.105.199 - - [14/May/2025:16:41:24 +0000] "GET / HTTP/1.1" 200 2287 "-" "python-requests/2.32.3"
77.110.105.199 - - [14/May/2025:16:41:24 +0000] "GET /api/users HTTP/1.1" 200 257 "-" "python-requests/2.32.3"
20.168.14.25 - - [14/May/2025:16:42:07 +0000] "GET /login HTTP/1.1" 404 8184 "-" "Mozilla/5.0 zgrab/0.x"
77.110.105.199 - - [14/May/2025:16:42:24 +0000] "GET / HTTP/1.1" 200 2287 "-" "python-requests/2.32.3"
77.110.105.199 - - [14/May/2025:16:42:24 +0000] "GET /api/users HTTP/1.1" 200 257 "-" "python-requests/2.32.3"
109.252.64.186 - - [14/May/2025:16:42:31 +0000] "GET /api/Users HTTP/1.1" 200 257 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36"
77.110.105.199 - - [14/May/2025:16:43:24 +0000] "GET / HTTP/1.1" 200 2287 "-" "python-requests/2.32.3"
77.110.105.199 - - [14/May/2025:16:43:24 +0000] "GET /api/users HTTP/1.1" 200 257 "-" "python-requests/2.32.3"
